case_id,title,concept_tag,symptom,topology_note,show_outputs,expected_fault,osi_layer,severity,expected_next_command,expected_fix,verification_method
NET-011,"Wrong DNS Server Address",DNS,"All name resolution lookups on the client fail. The client cannot resolve any hostname to an IP address.","The client is configured with a DNS server IP that does not actually exist or is not a functioning DNS server on the network.",PENDING_CAPTURE,"The client points to a nonexistent DNS server IP address, so all name resolution requests fail.",Layer 7,High,ipconfig /all,"Check the DNS server address with ipconfig /all; confirm the correct DNS server IP from the network administrator; update the DNS server configuration on the client; verify resolution with nslookup.",SAMPLE
NET-012,"Missing DNS A Record",DNS,"One specific hostname cannot be resolved, while all other hostnames on the network resolve correctly. Name resolution for the affected name returns an error.","The DNS server is reachable and resolving other names correctly, but the A record for a particular host has not been added to the DNS zone.",PENDING_CAPTURE,"The DNS A record for the requested hostname is missing from the DNS server, so that specific name cannot be resolved even though the DNS server is functioning.",Layer 7,Medium,nslookup <hostname>,"Run nslookup for the failing hostname to confirm it does not resolve; verify the DNS server is reachable by resolving another known name; add the correct A record for the hostname on the DNS server; verify resolution again.",SAMPLE
NET-013,"Missing Static Route",Routing,"Two directly attached networks cannot reach each other, even though they are connected to the same router.","Router1 connects to network 192.168.10.0/24 and network 192.168.20.0/24, but there is no static route configured to connect the two remote networks beyond the directly connected ones.",PENDING_CAPTURE,"A required static route is missing on the router, so packets destined for the remote network are not forwarded.",Layer 3,High,show ip route,"View the routing table with show ip route to confirm the destination network is absent; add the missing static route with ip route <dest_network> <mask> <next_hop>; verify the route appears with show ip route and test connectivity with ping.",SAMPLE
NET-014,"Wrong Next-Hop in Static Route",Routing,"Packets are dropped at the router and never reach the destination network, even though a static route exists for that network in the routing table.","Router1 has a static route for network 192.168.30.0/24, but the next-hop address configured in the route points to a nonexistent or incorrect neighbor.",PENDING_CAPTURE,"The static route points to an incorrect next-hop address, so the router cannot forward packets for that destination network.",Layer 3,Medium,show ip route <dest_network>,"Inspect the route for the destination network with show ip route; confirm the next-hop is reachable and correct; correct the next-hop in the static route configuration; verify traffic flows by pinging the remote network.",SAMPLE
NET-015,"Dynamic Route Not Advertised",Routing,"A network that should be reachable via a dynamic routing protocol is absent from the routing table, so devices cannot reach it.","Router1 is running a dynamic routing protocol (such as RIP or OSPF), but the network statement for one of its directly connected networks is missing from the protocol configuration.",PENDING_CAPTURE,"A network statement is missing from the dynamic routing protocol configuration, so that network is not advertised and is absent from neighbor routing tables.",Layer 3,Medium,show ip route,"Check the routing table with show ip route to see the missing network; review the routing protocol configuration with show running-config; add the missing network statement to the protocol; verify the route is advertised by checking neighbor routing tables.",SAMPLE
NET-016,"Route Preference Conflict",Routing,"Traffic takes an unexpected path to a destination network, causing poor performance, even though a route to the destination exists.","Router1 has both a static route and a dynamic route for the same destination network, but the wrong one is preferred due to administrative distance, so traffic uses the undesired path.",PENDING_CAPTURE,"Conflicting static and dynamic routes exist for the same network, and the router prefers the wrong path because of administrative distance.",Layer 3,Low,show ip route <dest_network>,"Inspect the routing table entry for the destination with show ip route to see which route is preferred; review the administrative distances; remove or adjust the conflicting route to make the intended path preferred; verify traffic uses the correct path with traceroute.",SAMPLE
NET-017,"ACL Blocking All Host Traffic",ACL,"A particular subnet cannot reach a server at all. All traffic from that subnet to the server is blocked, even though other subnets can reach it.","An extended or standard access list is applied to a router interface in front of the server, and its rules are too broad, denying all traffic from the affected subnet.",PENDING_CAPTURE,"The access list has a deny statement that is too broad and blocks all traffic from the affected subnet to the server.",Layer 3,High,show access-lists,"Review the access list rules with show access-lists; check how many packets match the deny statement; refine the ACL to permit the required traffic while still applying any intended filtering; reapply the corrected ACL and verify connectivity.",SAMPLE
NET-018,"ACL Blocking Only One Service",ACL,"ICMP ping to a server works, but HTTP (web) access to that same server fails.","An access list applied on the router permits ICMP but denies TCP port 80, blocking only the HTTP service while other traffic is allowed.",PENDING_CAPTURE,"The access list denies only TCP port 80 (HTTP), blocking web access while permitting other traffic to the server.",Layer 4,Medium,show access-lists,"Review the access list with show access-lists to confirm it denies TCP port 80; add a permit statement for the required web service appropriately; reapply and verify HTTP access succeeds.",SAMPLE
NET-019,"ACL on Wrong Interface or Direction",ACL,"Traffic is being blocked when it should not be, or traffic that should be filtered is passing. The filtering behavior is unexpected.","An access list was created correctly, but it was applied to the wrong interface or in the wrong direction (inbound instead of outbound, or on the wrong interface in the path).",PENDING_CAPTURE,"The access list is applied to the wrong interface or in the wrong direction, causing unexpected traffic filtering behavior.",Layer 3,Medium,show ip interface,"Review where and in which direction the ACL is applied with show ip interface; confirm the intended interface and direction; remove the misapplied ACL and apply it to the correct interface/direction; verify expected filtering behavior.",SAMPLE
NET-020,"NAT Inside/Outside Not Assigned",NAT,"Hosts on the inside network cannot reach the outside network even though NAT is configured with a translation rule.","A router has a NAT/overload rule configured, but the ip nat inside or ip nat outside command has not been applied to the relevant router interfaces.",PENDING_CAPTURE,"The ip nat inside or ip nat outside interface assignment is missing, so NAT translations are not performed for traffic crossing the router.",Layer 3,High,show ip nat translations,"Check NAT translations with show ip nat translations and the interface configuration with show running-config; confirm the inside and outside interface assignments; apply ip nat inside to the LAN interface and ip nat outside to the WAN interface; verify hosts can reach the outside.",SAMPLE
NET-021,"NAT ACL Does Not Match Inside Subnet",NAT,"Only some hosts on the inside network can reach the outside network successfully, while others cannot.","A router uses an access list to define which inside addresses are eligible for NAT. The access list matches only part of the inside subnet, leaving some hosts untranslated.",PENDING_CAPTURE,"The NAT access list does not match the full inside subnet range, so only the matched addresses are translated and the rest cannot reach the outside.",Layer 3,Medium,show ip nat translations,"Review the NAT access list with show access-lists and show ip nat translations; identify which addresses are being translated; correct the access list to match the entire intended inside subnet; verify all inside hosts can reach the outside.",SAMPLE
NET-022,"Static NAT Wrong Mapping",NAT,"An internal server cannot be reached from the outside network, even though a static NAT entry exists for it.","A static NAT rule maps an outside global address to an inside server, but the inside local address or global address is configured incorrectly.",PENDING_CAPTURE,"The static NAT mapping points to the wrong inside local or outside global address, so outside users reach an incorrect or nonexistent server.",Layer 3,Medium,show ip nat translations,"View the static NAT translations with show ip nat translations and the config with show running-config; verify the inside local and global addresses; correct the static NAT mapping to point to the intended internal server; test outside access.",SAMPLE
NET-023,"Wireless Clients Get No IP",Wireless,"Wireless clients can associate with the access point but do not obtain an IP address, so they cannot access the network.","An access point offers an SSID, but the wireless network is either not linked to a DHCP-enabled VLAN or DHCP is not being served for the wireless clients.",PENDING_CAPTURE,"The SSID is mapped to a VLAN that has no DHCP service, or the wireless network lacks DHCP, so clients associate but receive no IP address.",Layer 2,High,show ip dhcp binding,"Check whether wireless clients appear in show ip dhcp binding; confirm the SSID-to-VLAN mapping and that a DHCP pool serves that VLAN; configure a DHCP pool for the wireless VLAN or map the SSID to the correct VLAN; verify clients receive an address.",SAMPLE
NET-024,"Wireless Wrong SSID or Security",Wireless,"Wireless clients either cannot join the SSID or cannot reach the LAN after joining, while other wireless clients work.","An access point has multiple SSIDs; one SSID is mapped to the wrong VLAN or uses a security key (WPA) that does not match the clients.",PENDING_CAPTURE,"The SSID is mapped to the wrong VLAN or a WPA security key mismatch prevents clients from joining or accessing the LAN.",Layer 2,Medium,show running-config,"Review the access point configuration with show running-config to inspect SSID-to-VLAN mapping and security settings; correct the SSID mapping or security key; verify wireless clients associate and reach the LAN.",SAMPLE
NET-025,"Interface Administratively Down",Interface,"A connected link is down, and the interface state shows administratively down/down. The remote device also shows the link as down.","A switch or router interface is connected to a device, but the interface contains the shutdown command in its configuration.",PENDING_CAPTURE,"The interface has the shutdown command applied, placing it in the administratively down/down state.",Layer 1,Critical,show ip interface brief,"Check the interface state with show ip interface brief to confirm administratively down/down; remove the shutdown command with the no shutdown command; verify the interface state changes to up/up; confirm connectivity with ping.",SAMPLE
NET-026,"Intermittent Physical Link",Interface,"A link is physically down with no link light on either device, so no connectivity exists between two devices.","Two devices are connected by a cable, but the link is not established. Possible physical cause is a wrong cable type or the cable is not fully connected to the port.",PENDING_CAPTURE,"The link cannot be established due to a physical connectivity problem, such as the wrong cable type or a port that is not connected properly.",Layer 1,High,show interfaces status,"Check the port status with show interfaces status to confirm it is down; physically verify the cable type and that both ends are connected to the correct ports; replace with the correct cable if needed; verify the link comes up.",SAMPLE
NET-027,"Interface Up/Down Due to Duplex Mismatch",Interface,"A link is up on the port but the protocol is down, showing an up/down interface state, so traffic cannot traverse the link.","Two directly connected devices have a duplex mismatch: one is set to full duplex and the other to half duplex, causing constant collisions and preventing the link from working reliably.",PENDING_CAPTURE,"A duplex mismatch between the two connected device ports causes the interface to stay in an up/down state and prevents traffic from flowing.",Layer 1,Medium,show interfaces,"Check the duplex settings and interface state with show interfaces; confirm both ends use matching duplex settings; configure both ends to the same duplex or auto-negotiation; verify the interface state becomes up/up and traffic flows.",SAMPLE
NET-028,"Trunk Not Passing VLANs",Trunking,"VLAN data from hosts on one switch is not reaching hosts on another switch. Traffic within a single switch works, but not across the link between switches.","Two access switches are connected by a link, but the link has not been configured as a trunk, or the trunk does not allow the required VLANs.",PENDING_CAPTURE,"The link between the switches is not configured as a trunk (or does not allow the required VLANs), so VLAN traffic cannot pass between the switches.",Layer 2,High,show interfaces trunk,"Check trunk status with show interfaces trunk to see if the link is a trunk and which VLANs are allowed; configure the link as a trunk with switchport mode trunk and ensure the required VLANs are in the allowed list; verify VLAN traffic passes between switches.",SAMPLE
NET-029,"VLAN Mismatch on Trunk",Trunking,"Some frames are dropped between two switches across their trunk link, so hosts in the affected VLANs cannot communicate across the link.","Two switches are connected by a trunk, but the allowed VLAN list or native VLAN does not match between the two ends, causing frames in certain VLANs to be dropped.",PENDING_CAPTURE,"The trunk allowed-list or native VLAN configuration does not match between the two switches, causing frames in mismatched VLANs to be dropped.",Layer 2,Medium,show interfaces trunk,"Compare the trunk configuration on both switches with show interfaces trunk; check the allowed VLAN list and native VLAN; make the two ends consistent; verify frames pass for the intended VLANs.",SAMPLE
NET-030,"Subnet Mask Mismatch",Subnetting,"Two hosts that appear to be in the same IP range cannot ping each other, even though their IP addresses fall in the same subnet.","Host A and Host B are on the same physical LAN. Host A uses a /24 mask and Host B uses a different mask, so they do not compute the same network, and they cannot communicate directly.",PENDING_CAPTURE,"The two hosts use mismatched subnet masks, causing them to compute different networks even though their IPs overlap.",Layer 3,High,ipconfig /all,"Compare the IP addresses and subnet masks with ipconfig /all on both hosts; set both to consistent, correct subnet masks for their shared network; verify the hosts can now ping each other.",SAMPLE
NET-031,"Host IP in Wrong Subnet",Subnetting,"A host cannot reach other devices on its LAN, even though the network appears configured correctly, because its IP address falls outside the intended subnet range.","A host is configured with an IP address from a different sub-block than the rest of the devices on its LAN segment, so it is effectively on a different subnet.",PENDING_CAPTURE,"The host is assigned an IP address from a different subnet than the rest of the LAN, so it cannot communicate with its intended neighbors.",Layer 3,Medium,ipconfig /all,"Check the host IP with ipconfig /all and compare it to the planned subnet; assign the host a valid IP within the correct sub-block; verify connectivity by pinging neighbors on the LAN.",SAMPLE
NET-032,"Missing SVI on Layer 3 Switch",Routing,"One VLAN on a Layer 3 switch cannot be routed to other VLANs, while other VLANs route between each other correctly.","A Layer 3 switch has SVIs (VLAN interfaces) configured for several VLANs to provide inter-VLAN routing, but the SVI for VLAN 30 is missing.",PENDING_CAPTURE,"The VLAN interface (SVI) for VLAN 30 is missing on the Layer 3 switch, so VLAN 30 cannot be routed to other VLANs.",Layer 3,High,show ip interface brief,"Check the VLAN interfaces with show ip interface brief to confirm no SVI exists for VLAN 30; create the SVI with interface vlan 30 and assign an IP address in the correct subnet; enable or ensure routing is active with ip routing; verify inter-VLAN routing for VLAN 30.",SAMPLE
NET-033,"Missing Router Subinterface on Router-on-a-Stick",Routing,"One VLAN on a router-on-a-stick cannot reach the other VLAN subnets, while the other VLAN subinterfaces route correctly.","A router is configured with a router-on-a-stick topology using subinterfaces on a single physical trunk link to route between VLANs, but the subinterface for VLAN 30 is missing.",PENDING_CAPTURE,"The router subinterface for VLAN 30 is missing from the router-on-a-stick configuration, so VLAN 30 traffic cannot be routed.",Layer 3,Medium,show ip interface brief,"Check the subinterfaces with show ip interface brief to confirm no subinterface exists for VLAN 30; create the subinterface with encapsulation dot1Q 30 and assign an IP address in the correct subnet; verify inter-VLAN routing for VLAN 30.",SAMPLE
